;disc_Autre;Recodage
8;histoire et philosophie des sciences;Histoire
15;Littérature italienne;Littérature
16;Religion/Théologie;Religion
18;Science politique;Science politique
21;Sciences Politiques;Science politique
24;Humanités numériques ;Humanités numériques
27;Sciences de l'Information et de la Communication;SIC
28;Sciences de l'information et des bibliothèques;SIC
29;STS;Autre
30;"Histoire de l'art

Humanités numériques";Histoire
33;Histoire du droit/philosphie du droit ;Droit
35;information et communication;SIC
36;Sciences de l'information et de la communication;SIC
37;Interactions humain-machine;SIC
38;dcience de l'info-com / media studies;SIC
40;Traitement Automatique des Langues Naturelles;Linguistique
41;science and technology studies (STS), sciences de l'information et de la communication (SIC);SIC
50;Sciences de l'antiquité en général;Histoire
53;Humanités Numériques;Humanités numériques
58;numismate;Autre
59;"plutôt généraliste en Sciences de l'information, humanités numériques



avec une orientation récente (3 ans) autour de la philologie, musicologie...";SIC
67;Démographie;Démographie
72;archéométrie;Archéologie
76;Arts du spectacle;Arts
78;Histoire des sciences, mathématiques;Histoire
80;Sciences de l'information et de la communication;SIC
81;& sciences de l'éducation;SIC
94;Sciences de l'information et de la communication, Documentation;SIC
104;Urbanisme/aménagement;Urbanisme
107;...sciences politiques;Science politique
113;sciences de l'information et de la communication;SIC
116;Sciences, techniques et societé (Science and Technology Studies, STS);Sociologie
117;Sciences de l'information et de la communication;SIC
131;sciences de l'information et de la communication;SIC
138;Science politique;Science politique
141;informatique pour les sciences humaines;Informatique
147;Humanités numériques littéraires;Humanités numériques
152;Histoire de l'art;Histoire
158;Philologie;Autre
163;Pas linguistique mais Sciences de l'information et de la communication;SIC
164;et histoire de l'art ! ;Histoire
168;Lettres classiques;Littérature
171;info-com (oui oui, ça existe. C'est même une discipline. Et cerise, il y a une commission CNU dédiée ! Pour ce que ça vaut.);SIC
179;Mission Transition écologique;Autre
180;Sciences de l'éducation et de la formation;Science de l’éducation
181;Je travaille à la MRSH de Caen avec des chercheurs de différentes disciplines SHS.;Autre
185;Humanité Numérique;Humanités numériques
186;Informatique linguistique;Linguistique
188;philologie;Linguistique
203;Géochimie appliquée à l'archéologie;Archéologie
204;Géochimie appliquée à l'archéologie;Archéologie
210;Sciences politiques ;Science politique
